id	severity	type	location_en	location_jp	issue	proposed_fix
ENJP-01	critical	number_mismatch	EN L233: 'the 73.2% genus-wide evasion of AAGCCCG (O/E < 0.75 in 610/833 strains'	JP L250: 'AAGCCCGのgenus-wideな回避(610/833 strainsでO/E < 0.75; M145 O/E = 0.65'	Statistic 73.2% present in EN only; JP gives the raw fraction 610/833 without the percentage (Discussion, R-M System Diversity).	JP L250: 'AAGCCCGのgenus-wideな回避(73.2%;610/833 strainsでO/E < 0.75; …)'
ENJP-02	critical	EN_only	EN L233: 'genus-wide neutral (O/E ≈ 1.0) despite being an active, R-M-derived mark in M145'	JP L250: 'genus全体で中立的なGCCGGC(O/E ≈ 1.0)との対比は、矛盾ではなくむしろ示唆に富む'	EN qualifying clause 'despite being an active, R-M-derived mark in M145' has no JP counterpart.	JP L250: 'genus全体で中立的なGCCGGC(O/E ≈ 1.0;M145では活性のあるR-M由来のマークであるにもかかわらず)との対比は…'
ENJP-03	major	EN_only	EN L233: 'a resident restriction endonuclease exerting sustained counter-selection … (lacking a long-resident cognate endonuclease)'	JP L250: '常在する制限エンドヌクレアーゼが必要であり、オーファンあるいは最近水平獲得されたGCCGGC MTaseは回避の痕跡を残さない'	JP omits 'exerting sustained counter-selection' and the parenthetical '(lacking a long-resident cognate endonuclease)'; JP additionally inserts '水平' (horizontally) which EN ('only recently acquired') does not state.	JP L250: '…持続的な対抗選択を及ぼす常在制限エンドヌクレアーゼが必要であり、オーファンあるいは最近獲得された(長期常在する対応エンドヌクレアーゼを欠く)GCCGGC MTaseは…'
ENJP-04	critical	term_mismatch	EN L83: 'were no more likely to be differentially expressed than Shielded regulators (44% vs 44%'	JP L78: 'Shielded regulatorと比較して有意に発現変動を示す割合が高いわけではなく'	Statistical strength differs: JP adds '有意に' (significantly), converting EN's plain comparative statement into a significance-hedged one (R4).	JP L78: remove '有意に' → 'Shielded regulatorと比較して発現変動を示す割合が高いわけではなく'
ENJP-05	major	term_mismatch	EN L249: 'potentially triggering SOS-like defensive responses when strand integrity is compromised'	JP L272: 'SOS様の防御応答を誘発しうることが知られている'	Claim strength differs: EN hedged possibility ('potentially'); JP asserts it as established knowledge ('ことが知られている') (Discussion, Hemi-methylation).	JP L272: '…SOS様の防御応答を誘発しうる。'
ENJP-06	major	term_mismatch	EN L261: 'MTase-null strains of *S. coelicolor* lacking these specific activities have not been characterised'	JP L290: 'MTase-null株の*S. coelicolor*はこれまで作出・特性解析されておらず'	JP adds '作出' (constructed), asserting the strains have not been generated — a broader claim than EN 'have not been characterised' (Limitations).	Author to choose: JP L290 drop '作出・' OR EN L261 'have not been constructed or characterised'.
ENJP-07	minor	term_mismatch	EN L195: 'will require future functional experiments, such as comparative transcriptomics'	JP L195: '今後の機能実験が必要となるだろう'	JP softens EN's assertion ('will require') with 'だろう' (Discussion opening).	JP L195: '…今後の機能実験が必要である。'
ENJP-08	minor	other	EN L251: 'phenocopies 5-aza-2′-deoxycytidine treatment (ref 3); it is a strong a-priori candidate'	JP L274: '5-aza-dC処理と表現型を共有する(3))'	EN citation written as '(ref 3)' instead of NAR numbered form '(3)'; JP uses '(3)'. Only non-standard citation token in either file.	EN L251: '(ref 3)' → '(3)'
ENJP-09	minor	other	EN L441: '**Supplementary Table 1 | The 62 Exposed regulatory genes (non-circular definition).**'	JP L477: 'Supplementary Table 1 | 62個の被曝露(Exposed)制御遺伝子(非循環的定義)。'	JP Supp Table 1 title lacks the '**…**' bold markup used by EN and by every other JP legend; content otherwise identical.	JP L477: wrap title in '**…**'
ENJP-10	minor	stale_token	EN L44: '407 sites (82% arm) were called at T2'; EN L201: '407 sites not called at T1, 82% in the arms'	JP L42: '407のサイト(82%が腕部)'; JP L201: '407部位、82%がアーム'	'82% of 407' is on the NEVER-reintroduce list (ledger: first-appearance arm share misread as T2 methylome). Current text in BOTH languages frames 82% as the arm share of the 407 T2-new sites and attributes it to the coverage-ratio drop (2.26→1.13), i.e. not the retired misreading; EN/JP are in sync. Flagged for author confirmation only.	None if the author confirms the framing is the intended (non-retired) usage; otherwise remove the 82% clause in both files.
ENJP-11	minor	other	EN Supplementary Figures section (L342–437): legends/notes present for S1–S11, S13–S24	JP L374–473: same set	Supplementary Figure 12 has no legend, no withdrawal note, and is not cited in body text in either language (S1/2/3/6 carry withdrawal notes). Numbering gap is consistent across EN/JP — not a desync.	Author to confirm whether S12 should carry a withdrawal note like S1–3/6 or the series be renumbered (generated Supplementary-Materials-List would follow).
