file,line,label,text,severity
Key-Claims.md,163,term 'Gatekeeper' (replaced by protection zone / spatial organiser),### Claim D-1: Gatekeeperモデルは細菌エピゲノミクスの新パラダイムを提案する,informational
Reviewer-Response-Draft.md,3,term 'Gatekeeper' (replaced by protection zone / spatial organiser),**Manuscript:** Correcting a 5mC misattribution and identifying a novel dual-modification motif in *Streptomyces coelicolor* A3(2) M145 reveals an epigenetic ga,informational
Reviewer-Response-Draft.md,208,Exposed=57 (retracted; now 62),### Minor-3-6: TF 57-gene set — potential circular selection ✅,informational
Story-Draft.md,19,term 'Gatekeeper' (replaced by protection zone / spatial organiser),*S. coelicolor* の制御遺伝子プロモーターはDNAメチル化から系統的に保護されており（**Gatekeeper アーキテクチャ**）、この構造原理が論文の主軸（A）。わずか57の転写因子遺伝子（Exposed TF）がこの保護を欠き、発達スイッチとして機能する。,informational
Story-Draft.md,23,Exposed=57 (retracted; now 62),**一文要約**: 「制御遺伝子はメチル化から系統的に保護され（Gatekeeper 原理）、見かけのゲノムワイド相関は地理的交絡であることを示したうえで、57 Exposed TF が発達スイッチを担うことを明らかにした」,informational
Story-Draft.md,23,term 'Gatekeeper' (replaced by protection zone / spatial organiser),**一文要約**: 「制御遺伝子はメチル化から系統的に保護され（Gatekeeper 原理）、見かけのゲノムワイド相関は地理的交絡であることを示したうえで、57 Exposed TF が発達スイッチを担うことを明らかにした」,informational
Story-Draft.md,92,Exposed=57 (retracted; now 62),## R4: 57 Exposed TFのShielded/Exposed分類,informational
Story-Draft.md,98,Exposed=57 (retracted; now 62),"| Exposed数 | **57**（全制御遺伝子1,055中） | Fig 4a ✅ |",informational
Story-Draft.md,99,Shielded=998 (retracted; now 989),| Shielded数 | **998** | Fig 4a ✅ |,informational
Story-Draft.md,100,distance AUC 0.908 (retracted; AUC not reported),| ROC AUC | 0.908（95% CI 0.886–0.929; 感度=1.00、特異度=0.806） | Fig 4b |,informational
Story-Draft.md,130,Exposed=57 (retracted; now 62),## R6: 57 Exposed TFは2ブロック協調発生スイッチを構成する,informational
Story-Draft.md,132,Exposed=57 (retracted; now 62),"**主張:** 57 Exposed TFは活性化（33・上昇）・抑制（23・下降）2ブロックに分かれ、T2で同期的に切り替わる（逆位相 eigengene r=−0.94, CI[−0.99,−0.74]）。センサーキナーゼはExposed・レスポンスレギュレーターはShieldedという非対称性が7/7ペアで完全一",informational
Story-Draft.md,138,Exposed=57 (retracted; now 62),| 早期応答群 | 36/57（63%） | Fig 5b |,informational
Story-Draft.md,173,Exposed=57 (retracted; now 62),- [x] Figure 4 n=57/998で再生成 ✅ 2026-04-22,informational
Story-Draft.md,175,Exposed=57 (retracted; now 62),- [x] Figure 2 パネル(c)(d)をn=57/998で再生成 ✅ 2026-04-22,informational
Story-Draft.md,181,Shielded=998 (retracted; now 989),- [x] Abstract/IntroのShielded数 993→998 の修正確認 ✅ 2026-04-22（Key-Claims.md・Results-Draft.md修正済み）,informational
Story-Draft.md,181,Shielded=993 (retracted; now 989),- [x] Abstract/IntroのShielded数 993→998 の修正確認 ✅ 2026-04-22（Key-Claims.md・Results-Draft.md修正済み）,informational
